,account_value,date,daily_return,datadate
0,1000000.0,2022-01-03,,2022-01-03
1,999444.0432888032,2022-01-04,-0.0005559567111969,2022-01-04
2,995612.1078357697,2022-01-05,-0.0038340670283291,2022-01-05
3,988481.7230571746,2022-01-06,-0.0071618100287016,2022-01-06
4,983545.7414115904,2022-01-07,-0.0049934981400749,2022-01-07
5,979208.0527851104,2022-01-10,-0.0044102561211384,2022-01-10
6,983765.5982144164,2022-01-11,0.0046543177584612,2022-01-11
7,989483.4242947388,2022-01-12,0.0058121834009039,2022-01-12
8,981729.1236813356,2022-01-13,-0.0078367160308221,2022-01-13
9,977164.549706726,2022-01-14,-0.0046495248684208,2022-01-14
10,965321.63131073,2022-01-18,-0.0121196766701682,2022-01-18
11,955859.3551571656,2022-01-19,-0.0098022004756243,2022-01-19
12,948928.3788235474,2022-01-20,-0.0072510420034321,2022-01-20
13,932770.1041348268,2022-01-21,-0.0170279180698055,2022-01-21
14,942114.3593533324,2022-01-24,0.0100177473281832,2022-01-24
15,934977.9107601928,2022-01-25,-0.0075749281626894,2022-01-25
16,929834.6826107788,2022-01-26,-0.0055009087276001,2022-01-26
17,929129.428475647,2022-01-27,-0.0007584726062827,2022-01-27
18,945529.5674832154,2022-01-28,0.0176510812217784,2022-01-28
19,944584.0638671112,2022-01-31,-0.0009999725536038,2022-01-31
20,945204.6745398712,2022-02-01,0.0006570200541169,2022-02-01
21,950026.6911116792,2022-02-02,0.0051015581087294,2022-02-02
22,945093.045074768,2022-02-03,-0.0051931657111,2022-02-03
23,942601.5019705964,2022-02-04,-0.0026362939788373,2022-02-04
24,941875.633857422,2022-02-07,-0.0007700689121086,2022-02-07
25,951462.1719738772,2022-02-08,0.0101781358088579,2022-02-08
26,962514.1736065676,2022-02-09,0.0116158077096877,2022-02-09
27,950416.7772595217,2022-02-10,-0.0125685383953533,2022-02-10
28,934455.5557629396,2022-02-11,-0.0167939180772938,2022-02-11
29,931054.2502056886,2022-02-14,-0.003639879431691,2022-02-14
30,943083.5455853272,2022-02-15,0.0129200799813558,2022-02-15
31,943642.1081158448,2022-02-16,0.0005922725861693,2022-02-16
32,929274.6017834474,2022-02-17,-0.015225588397157,2022-02-17
33,923738.1482006838,2022-02-18,-0.0059578229859486,2022-02-18
34,899541.9329602052,2022-02-22,-0.0261938031763757,2022-02-22
35,886073.0653149416,2022-02-23,-0.0149730292182604,2022-02-23
36,893705.841834717,2022-02-24,0.0086141615387693,2022-02-24
37,914250.6738049318,2022-02-25,0.0229883603849312,2022-02-25
38,913936.0805889894,2022-02-28,-0.0003440995177319,2022-02-28
39,904893.8372265628,2022-03-01,-0.0098937371600423,2022-03-01
40,922094.3333966066,2022-03-02,0.0190083029217684,2022-03-02
41,915237.7715679932,2022-03-03,-0.0074358572439726,2022-03-03
42,912724.6470410158,2022-03-04,-0.0027458706415405,2022-03-04
43,888358.7082440187,2022-03-07,-0.0266958264751473,2022-03-07
44,875705.8414227297,2022-03-08,-0.0142429704396093,2022-03-08
45,894886.5457989504,2022-03-09,0.0219031362689763,2022-03-09
46,895648.7828594972,2022-03-10,0.0008517694942729,2022-03-10
47,887577.6677624513,2022-03-11,-0.0090114733046112,2022-03-11
48,889273.771445923,2022-03-14,0.0019109355102946,2022-03-14
49,912188.3016583254,2022-03-15,0.0257676892630536,2022-03-15
50,923387.3559948732,2022-03-16,0.0122771299699726,2022-03-16
51,933332.8265301517,2022-03-17,0.0107706375560696,2022-03-17
52,938485.5969921876,2022-03-18,0.0055208284928673,2022-03-18
53,930023.1060711672,2022-03-21,-0.0090171771928546,2022-03-21
54,935243.9082257082,2022-03-22,0.0056136262856909,2022-03-22
55,920413.1921765138,2022-03-23,-0.0158575917135138,2022-03-23
56,931106.2869793704,2022-03-24,0.0116177113645778,2022-03-24
57,931447.2919384768,2022-03-25,0.0003662363404426,2022-03-25
58,936206.6127545168,2022-03-28,0.0051095975663155,2022-03-28
59,942887.4822003176,2022-03-29,0.0071361058069694,2022-03-29
60,944174.5078350832,2022-03-30,0.0013649832658317,2022-03-30
61,925749.4287487796,2022-03-31,-0.0195144848048809,2022-03-31
62,930684.714454346,2022-04-01,0.0053311247647613,2022-04-01
63,933374.5559155276,2022-04-04,,2022-04-04
64,926005.655193226,2022-04-05,-0.0078949020793409,2022-04-05
65,918809.5168569224,2022-04-06,-0.0077711602471823,2022-04-06
66,921785.0662863466,2022-04-07,0.0032384834667396,2022-04-07
67,923386.6200615618,2022-04-08,0.0017374481685492,2022-04-08
68,909607.0721474956,2022-04-11,-0.0149228368861871,2022-04-11
69,906658.5850802424,2022-04-12,-0.0032414953198329,2022-04-12
70,920925.7576549684,2022-04-13,0.0157359923674724,2022-04-13
71,911309.718969704,2022-04-14,-0.0104417089057761,2022-04-14
72,907021.9912492604,2022-04-18,-0.0047050170004675,2022-04-18
73,919724.1774846804,2022-04-19,0.0140042759249148,2022-04-19
74,917745.361944054,2022-04-20,-0.0021515315015837,2022-04-20
75,906617.7676488268,2022-04-21,-0.0121249256674591,2022-04-21
76,883082.2358526234,2022-04-22,-0.0259597072063118,2022-04-22
77,891436.0700104679,2022-04-25,0.0094598598167687,2022-04-25
78,863222.0606815418,2022-04-26,-0.0316500647417091,2022-04-26
79,863638.7195686306,2022-04-27,0.0004826786826552,2022-04-27
80,871205.2202956203,2022-04-28,0.0087611874682611,2022-04-28
81,842554.9519105457,2022-04-29,-0.0328857859407142,2022-04-29
82,849918.2803341869,2022-05-02,0.0087392856773844,2022-05-02
83,852983.2230401653,2022-05-03,0.0036061616474154,2022-05-03
84,875216.0820468486,2022-05-04,0.0260648256684838,2022-05-04
85,845520.9605103878,2022-05-05,-0.0339289029824652,2022-05-05
86,838491.2037202839,2022-05-06,-0.0083141129769986,2022-05-06
87,807560.1878210453,2022-05-09,-0.0368888972979102,2022-05-09
88,812585.1643048748,2022-05-10,0.0062224173004217,2022-05-10
89,796551.7234306759,2022-05-11,-0.0197313974934734,2022-05-11
90,783777.3766634793,2022-05-12,-0.0160370587263043,2022-05-12
91,797656.8939597134,2022-05-13,0.0177084944137058,2022-05-13
92,796880.1005370144,2022-05-16,-0.0009738440532279,2022-05-16
93,809935.2567806515,2022-05-17,0.016382836307293,2022-05-17
94,809125.3787722094,2022-05-18,-0.0009999293173892,2022-05-18
95,807657.2386249313,2022-05-19,-0.0018144779360472,2022-05-19
96,807556.1814037247,2022-05-20,-0.0001251238970861,2022-05-20
97,810432.189073391,2022-05-23,0.0035613716245315,2022-05-23
98,809453.1514195596,2022-05-24,-0.0012080438894594,2022-05-24
99,813532.7354369166,2022-05-25,0.0050399260416771,2022-05-25
100,820521.0393952411,2022-05-26,0.0085900710001194,2022-05-26
101,828808.7397516789,2022-05-27,0.0101005336347574,2022-05-27
102,825580.384477589,2022-05-31,-0.0038951752307258,2022-05-31
103,824467.1678086934,2022-06-01,-0.0013484049401198,2022-06-01
104,832799.8368498769,2022-06-02,0.010106732404312,2022-06-02
105,829401.0297406698,2022-06-03,-0.0040811812860859,2022-06-03
106,826933.6604541059,2022-06-06,-0.0029748809057246,2022-06-06
107,832407.4883976942,2022-06-07,0.0066194281420135,2022-06-07
108,828071.2024368292,2022-06-08,-0.0052093307920763,2022-06-08
109,814811.8974008985,2022-06-09,-0.0160122764768434,2022-06-09
110,790868.4850071379,2022-06-10,-0.0293852022413219,2022-06-10
111,768018.0817411352,2022-06-13,-0.0288927978534843,2022-06-13
112,765109.1514282232,2022-06-14,-0.0037875805037262,2022-06-14
113,772882.0299654241,2022-06-15,0.0101591760112806,2022-06-15
114,752161.8613777395,2022-06-16,-0.0268089666784095,2022-06-16
115,751812.4011628195,2022-06-17,-0.0004646077298839,2022-06-17
116,766299.0466214758,2022-06-21,0.0192689631565667,2022-06-21
117,759993.5065599561,2022-06-22,-0.0082285631038171,2022-06-22
118,759912.4427358748,2022-06-23,-0.0001066638377585,2022-06-23
119,782102.4230067297,2022-06-24,0.0292007065853079,2022-06-24
120,779577.0608124166,2022-06-27,-0.003228940507056,2022-06-27
121,768522.0685980612,2022-06-28,-0.014180756169037,2022-06-28
122,767305.4552155157,2022-06-29,-0.0015830558838275,2022-06-29
123,756774.1840921637,2022-06-30,-0.0137250048879087,2022-06-30
124,762734.1251041762,2022-07-01,0.0078754549736155,2022-07-01
125,760486.1718264701,2022-07-05,-0.0029472305010598,2022-07-05
126,761744.1169482352,2022-07-06,,2022-07-06
127,774803.6634746252,2022-07-07,0.0171442696252257,2022-07-07
128,772309.2399800421,2022-07-08,-0.0032194265620748,2022-07-08
129,765289.0341746908,2022-07-11,-0.0090898896995362,2022-07-11
130,753689.3317997138,2022-07-12,-0.0151572828787315,2022-07-12
131,749312.7522659232,2022-07-13,-0.0058068747282649,2022-07-13
132,747039.7090518539,2022-07-14,-0.0030335039770718,2022-07-14
133,761088.2075829664,2022-07-15,0.0188055579387378,2022-07-15
